rank,title,title_jp,score,scored_by,members,year,genres,url
218,Kimetsu no Yaiba,鬼滅の刃,8.41,2340075,3409092,2019,Action|Award Winning|Supernatural,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
223,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,8.4,1202429,1919917,2019,Comedy|Romance,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
232,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,無職転生 II ～異世界行ったら本気だす～ (第2クール),8.39,320394,556586,2024,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2
230,Houseki no Kuni,宝石の国,8.39,218213,513875,2017,Action|Drama|Fantasy|Mystery,https://myanimelist.net/anime/35557/Houseki_no_Kuni
231,Major S5,メジャー,8.39,43740,75653,2009,Sports,https://myanimelist.net/anime/5028/Major_S5
240,Kaze ga Tsuyoku Fuiteiru,風が強く吹いている,8.38,150444,332843,2018,Drama|Sports,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
242,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),8.38,270548,602674,2021,Action|Sci-Fi|Suspense,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
239,Mahou Shoujo Madoka★Magica,魔法少女まどか★マギカ,8.38,811537,1398728,2011,Award Winning|Drama|Suspense,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
245,Golden Kamuy: Saishuushou,ゴールデンカムイ 最終章,8.37,4002,50610,2026,Action|Adventure,https://myanimelist.net/anime/55772/Golden_Kamuy__Saishuushou
248,Medalist,メダリスト,8.37,35992,86347,2025,Drama|Sports,https://myanimelist.net/anime/55318/Medalist
243,3-gatsu no Lion,3月のライオン,8.37,299470,729711,2016,Drama,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
246,Haikyuu!! To the Top,ハイキュー!! TO THE TOP,8.37,642522,1042617,2020,Sports,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
244,Chihayafuru 2,ちはやふる 2,8.37,137859,251772,2013,Drama|Romance|Sports,https://myanimelist.net/anime/14397/Chihayafuru_2
256,Girls Band Cry,ガールズバンドクライ,8.36,52955,132995,2024,Drama,https://myanimelist.net/anime/55102/Girls_Band_Cry
254,Cross Game,クロスゲーム,8.36,53561,132355,2009,Drama|Romance|Sports,https://myanimelist.net/anime/5941/Cross_Game
262,Karakai Jouzu no Takagi-san 3,からかい上手の高木さん3,8.36,95549,210309,2022,Comedy|Romance,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
253,Barakamon,ばらかもん,8.36,360503,709638,2014,Slice of Life,https://myanimelist.net/anime/22789/Barakamon
267,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,やはり俺の青春ラブコメはまちがっている。完,8.35,452529,812779,2020,Comedy|Romance,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
270,Non Non Biyori Nonstop,のんのんびより のんすとっぷ,8.35,53627,138192,2021,Slice of Life,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
267,Fumetsu no Anata e,不滅のあなたへ,8.35,420512,987020,2021,Adventure|Drama|Supernatural,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
270,IDOLiSH7 Third Beat! Part 2,アイドリッシュセブン,8.35,6072,17857,2022,Drama,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2
265,Baccano!,バッカーノ！,8.35,397870,954668,2007,Action|Mystery|Supernatural,https://myanimelist.net/anime/2251/Baccano
282,Yofukashi no Uta Season 2,よふかしのうた Season2,8.34,84859,230029,2025,Romance|Supernatural,https://myanimelist.net/anime/58390/Yofukashi_no_Uta_Season_2
279,Hibike! Euphonium 2,響け！ユーフォニアム2,8.34,135437,255489,2016,Drama,https://myanimelist.net/anime/31988/Hibike_Euphonium_2
274,86,86―エイティシックス―,8.34,500332,954653,2021,Drama|Sci-Fi,https://myanimelist.net/anime/41457/86
279,Kono Subarashii Sekai ni Shukufuku wo! 3,この素晴らしい世界に祝福を！3,8.34,233004,539366,2024,Adventure|Comedy|Fantasy,https://myanimelist.net/anime/49458/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3
278,Kimetsu no Yaiba: Mugen Ressha-hen,鬼滅の刃 無限列車編,8.34,582692,960411,2021,Action|Supernatural,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
281,Tensei shitara Slime Datta Ken 2nd Season,転生したらスライムだった件,8.34,638896,1098386,2021,Action|Comedy|Fantasy,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
288,Psycho-Pass,サイコパス,8.33,827405,1739698,2012,Action|Mystery|Sci-Fi|Suspense,https://myanimelist.net/anime/13601/Psycho-Pass
286,Mushoku Tensei: Isekai Ittara Honki Dasu,無職転生 ～異世界行ったら本気だす～,8.33,959340,1550693,2021,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
283,Bakuman. 2nd Season,バクマン。2ndシーズン,8.33,221489,370787,2011,Comedy|Drama|Romance,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
290,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night [Unlimited Blade Works] 2nd シーズン,8.32,601860,915561,2015,Action|Fantasy,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
