title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Ookami to Koushinryou II,狼と香辛料II,狼与香辛料 第二季,2009,Adventure|Drama|Romance|Supernatural|Action,8.3,177,288851,56.0,8.7,46.0,217267.0,82.49,7.8,134.0,8203.0,48.45
Natsume Yuujinchou,夏目友人帳,夏目友人帐,2008,Slice of Life|Supernatural,8.3,178,199026,55.75,,,,,8.0,94.0,11608.0,63.95
Initial D Final Stage,頭文字 D Final Stage,,2014,Action|Drama|Sport,8.3,179,84760,55.5,8.4,111.0,1203.0,57.2,,,,
Boku dake ga Inai Machi,僕だけがいない街,只有我不存在的城市,2016,Mystery|Suspense|Crime|Drama,8.3,180,1469100,55.25,8.4,112.0,72748.0,56.81,7.6,187.0,13707.0,27.91
Kingdom 2nd Season,キングダム 第2シリーズ,记录的地平线 第二季,2013,Action|Drama,8.29,191,73844,52.5,8.8,22.0,6196.0,91.83,7.2,246.0,4416.0,5.04
Kemono no Souja Erin,獣の奏者エリン,东之伊甸,2009,Drama|Fantasy|Short|Comedy,8.29,190,22832,52.75,8.3,179.0,76.0,30.74,7.5,205.0,5148.0,20.93
Kuroko no Basket 3rd Season,黒子のバスケ,,2015,Sports,8.29,189,509805,53.0,,,,,,,,
Katanagatari,刀語,刀语,2010,Action|Adventure|Romance|Comedy|Drama,8.29,188,223145,53.25,8.8,23.0,90568.0,91.44,7.6,182.0,4350.0,29.84
Sakamichi no Apollon,坂道のアポロン,坂道上的阿波罗,2012,Drama|Romance|Action|Adventure,8.29,187,181957,53.5,9.1,1.0,691912.0,100.0,7.5,206.0,3213.0,20.54
Given,ギヴン,,2019,Boys Love|Drama,8.29,186,344481,53.75,,,,,,,,
