list_rank,bgm_rank,id,name,name_cn,year,score,votes,tags,url
94,146,531,ARIA The ANIMATION,水星领航员,2005,8.2,4404,治愈|水星领航员|ARIA|TV|2005|漫画改|治愈系神作|HalFilmMaker|治愈系|牧野由依|日常|害羞的言辞禁止|2005年10月|漫改|天野こずえ|佐藤顺一|奇幻|科幻|催眠|日本|天然呆|社长|佐藤順一|百合|吉田玲子|神作|2005年|治癒|HAL_FILM_MAKER|补旧番,https://chii.in/subject/531
95,147,485,涼宮ハルヒの憂鬱,凉宫春日的忧郁,2006,8.2,18335,京阿尼|涼宮ハルヒの憂鬱|SOS团|团长|校园|凉宫春日的忧郁|TV|吐槽|谷川流|轻小说改|2006|大萌神|凉宫春日|轻小说|2006年4月|杉田智和|小说改|石原立也|京都动画|轻改|日常|奇幻|萌神万岁|日本|搞笑|科幻|青春|京都アニメーション|平野绫|京都,https://chii.in/subject/485
96,148,218708,宇宙よりも遠い場所,比宇宙更远的地方,2018,8.2,15143,原创|MADHouse|青春|2018年1月|花田十辉|TV|南极|治愈|2018|百合|励志|花泽香菜|水濑祈|早见沙织|井口裕香|日本|石塚敦子|花田十輝|日常|轻百合|旅行|催泪|友情|いしづかあつこ|冒险|神作|2018年|石冢敦子|比宇宙更远的地方|校园,https://chii.in/subject/218708
97,149,27364,氷菓,冰菓,2012,8.2,31830,京阿尼|校园|氷菓|青春|推理|推理系|2012年4月|TV|小清新|2012|悬疑|小说改|京都动画|中村悠一|京都|温情|恋爱|轻小说改|武本康弘|日常|日本|轻改|京都アニメーション|治愈|四月番|神作|米泽穗信|冰菓|2012年|田中公平,https://chii.in/subject/27364
98,150,28205,日常 Eテレ版,日常 ETV版,2012,8.2,2482,日常|京阿尼|搞笑|2012年1月|TV|爆笑|电波|吐槽向|重制版|石原立也|2012|漫画改|什么情况。。。还要日常4个月|漫改|日本|异常|京都动画|治愈|京都|校园|吐槽|京都アニメーション|萌|总集篇|什么情况还要日常4个月|2012年|又要日常了蛤蛤蛤|百合|动画|剪辑版,https://chii.in/subject/28205
99,153,37785,新世界より,来自新世界,2012,8.1,14768,反乌托邦|A-1Pictures|科幻|来自新世界|小说改|2012年10月|TV|猎奇|2012|花澤香菜|悬疑|花泽香菜|小说改编|奇幻|A-1|人类衰退之后？|轻小说改|日本|石浜真史|神作|轻改|剧情|致郁|种田梨沙|2012年|石滨真史|A-1_Pictures|百合|SF|貴志祐介,https://chii.in/subject/37785
100,154,12536,夏目友人帳 参,夏目友人帐 叁,2011,8.2,8883,治愈|夏目友人帳|神谷浩史|猫咪先生|2011年7月|夏目|治愈系|TV|妖怪|绿川幸|贵志与猫老师不得不说的二三事|2011|第三季|漫画改|温暖|BrainsBase|奇幻|日常|漫改|夏目友人帐|日本|最期待新番|大森贵弘|大森貴弘|友人帐|アニメ|续作|2011年|温情|井上和彦,https://chii.in/subject/12536
101,155,41568,ちはやふる2,歌牌情缘 第二季,2013,8.2,3989,MADHouse|燃|2013年1月|青春|TV|浅香守生|少女漫|漫画改|2013|伪少女真青春|体育竞技|宫野真守|少女向|真岛太一|漫改|热血|恋爱|竞技|細谷佳正|日本|乙女向|运动|校园|花牌|励志|治愈|濑户麻沙美|细谷佳正|花牌情缘|少女,https://chii.in/subject/41568
102,158,338,フルメタル・パニック? ふもっふ,全金属狂潮 校园篇,2003,8.1,6330,京阿尼|全金属狂潮|搞笑|爆笑|TV|校园|贺东招二|2003|校园篇|bon太君|轻小说改|全金属狂潮2|关智一|雪野五月|武本康弘|京都动画|全金属狂潮校园篇|小说改|轻改|科幻|2003年8月|萝卜|fumoffu|日本|京都アニメーション|京都|日常|喜剧|恋爱|机战,https://chii.in/subject/338
103,159,2734,プラネテス,星空清理者,2003,8.1,3661,科幻|SUNRISE|谷口悟朗|大河内一楼|TV|2003|星空清理者|写实|宇宙|人生|治愈|漫画改|2003年10月|漫改|PLANET-ES|真实|职场|日本|星空之旅|planetes|剧情|2003年|SF|神作|补番|硬科幻|雪野五月|日本动画|幸村诚|TVA,https://chii.in/subject/2734
104,161,218707,少女終末旅行,少女终末旅行,2017,8.1,16144,末世|百合|废土|公路片|WHITEFOX|治愈|2017年10月|漫画改|TV|少女终末旅行|科幻|2017|漫改|日常|尾崎隆晴|日本|致郁|轻百合|WHITE_FOX|萌|神作|公路|反战|2017年|冒险|水濑祈|旅行|水瀬いのり|轻百|つくみず,https://chii.in/subject/218707
105,162,278569,ハイスコアガールⅡ,高分少女 第二季,2019,8.1,5066,恋爱|J.C.STAFF|2019年10月|漫画改|TV|青春|游戏|2019|高分少女|漫改|押切蓮介|校园|白学|搞笑|山川吉樹|日本|山川吉树|续作|3D|街机游戏|浦畑達彦|日常|治愈|党争|2019年|2019秋|无口|季番|街机|热血,https://chii.in/subject/278569
106,164,240760,モブサイコ100 Ⅱ,灵能百分百 第二季,2019,8.1,14519,BONES|超能力|战斗|漫画改|2019年1月|搞笑|灵能百分百|TV|热血|漫改|2019|ONE|奇幻|立川让|川井宪次|日本|樱井孝宏|治愈|续作|立川譲|成长|濑古浩司|骨头社|校园|2019年|日常|神作|瀬古浩司|川井憲次|青春,https://chii.in/subject/240760
109,169,175596,終物語(下),终物语（下）,2017,8.1,7625,物语系列|新房昭之|SHAFT|西尾维新|TV|轻小说改|2017年7月|2017|奇幻|后宫|轻改|终物语|小说改|神谷浩史|板村智幸|日本|斋藤千和|恋爱|校园|物语|吐槽|2017年|青春|沙发套|新房|续作|2017年8月|神作|OVA|西尾維新,https://chii.in/subject/175596
