id,list_rank,bgm_rank,name,name_cn,year,score,votes,tags,url
1010,460,862,機動戦士ガンダム00 セカンドシーズン,机动战士高达00 第二季,2008,7.5,5357,GUNDAM|高达|SUNRISE|機動戦士ガンダムOO|TV|2008|原创|水岛精二|机动战士高达00|蛋蛋|萝卜|神棍|机战|科幻|2008年10月|美丽的中二|神谷浩史|OO|日本|黑田洋介|高达蛋蛋|战斗|宫野真守|2nd|川井宪次|水島精二|战争|黒田洋介|渣作|川井憲次,https://chii.in/subject/1010
11145,463,866,バカとテストと召喚獣にっ!,笨蛋，测验，召唤兽2,2011,7.5,10877,搞笑|秀吉|笨蛋|2011年7月|轻小说改|大沼心|TV|校园|闷声色狼|SILVERLINK.|伪娘|2011|瑞希的料理|后宫|精神食粮|轻改|二期|小说改|恋爱|日常|加藤英美里|日本|笨蛋测验召唤兽|闷骚男|续作|腐向|笨蛋测试召唤兽|2011年|下野紘,https://chii.in/subject/11145
219200,464,869,からかい上手の高木さん,擅长捉弄的高木同学,2018,7.5,10953,恋爱|校园|狗粮|日常|2018年1月|漫画改|TV|擅长调情的西片太太|SHIN-EI|2018|漫改|擅长捉弄的高木同学|搞笑|日本|赤城博昭|TV　|TⅤ|TＶ|青春|纯爱|治愈|高桥李依|シンエイ動画|横手美智子|2018年|甜|高橋李依|梶裕贵|闪光|动画,https://chii.in/subject/219200
296659,465,871,ラブライブ！虹ヶ咲学園スクールアイドル同好会,Love Live! 虹咲学园校园偶像同好会,2020,7.5,5806,偶像|百合|SUNRISE|原创|LoveLive|2020年10月|TV|音乐|校园|2020|扭曲|河村智之|田中仁|ラブライブ|鬼頭明里|LoveLive！|日本|日常|轻百合|2020年|10月|青春|霸权|横田拓己|LoveLive!|夹脚|治愈|サンライズ|季番|TVA,https://chii.in/subject/296659
47889,468,875,凪のあすから,来自风平浪静的明天,2013,7.5,8671,P.A.WORKS|恋爱|原创|冈田麿里|2013年10月|TV|花泽香菜|2013|贵圈真乱|奇幻|NTR|原创动画|校园|青春|胃疼|治愈|日本|2013年10月秋アニメ|逢坂良太|篠原俊哉|扭曲|岡田麿里|来自风平浪静的明天|2013年|日常|茅野爱衣|催泪|石川界人|筱原俊哉|半年番,https://chii.in/subject/47889
2464,470,881,荒川アンダー ザ ブリッジ,荒川爆笑团,2010,7.5,8021,新房昭之|电波|荒川爆笑团|搞笑|2010年4月|神谷浩史|SHAFT|TV|2010|坂本真綾|杉田智和|漫画改|新房式强力吐槽|爆笑|日常|恋爱|电波族|子安武人|漫改|星星|吐槽|日本|中村光|治愈|电波系|2010年|坂本真绫|横山克|日本动画|三重野瞳,https://chii.in/subject/2464
115932,473,892,憑物語,凭物语,2014,7.5,7579,物语系列|新房昭之|SHAFT|西尾维新|轻小说改|TV|2014|2014年12月|奇幻|早见纱织|后宫|OVA|轻改|小说改|神谷浩史|板村智幸|凭物语|日本|2015年1月|恋爱|2014年|物语|吐槽|续作|怪异|校园|搞笑|西尾維新|战斗|TVSP,https://chii.in/subject/115932
4255,477,898,WORKING!!,迷糊餐厅,2010,7.5,6940,搞笑|WORKING|A-1Pictures|2010年4月|TV|福山润|欢乐|日常|神谷浩史|漫画改|2010|萌|小野大辅|恋爱|餐厅|萝莉控|迷你控|漫改|A-1|职场|萌杀|日本|平池芳正|治愈|阿澄佳奈|迷糊餐厅|mini控|2010年|喜多村英梨|福山潤,https://chii.in/subject/4255
312723,479,902,平穏世代の韋駄天達,平稳世代的韦驮天们,2021,7.5,5884,MAPPA|战斗|漫画改|2021年7月|奇幻|TV|猎奇|2021|漫改|クール教信者|智斗|城所聖明|noitaminA|瀬古浩司|日本|城所圣明|堀江由衣|搞笑|天原|血腥|热血|2021年|平稳世代的韦驮天们|濑古浩司|2021夏|季番|日本动画|出羽良彰|8分|朴璐美,https://chii.in/subject/312723
12,483,908,ちょびっツ,人形电脑天使心,2002,7.5,5248,CLAMP|人形电脑天使心|MADHouse|TV|叽|2002|治愈|chobits|漫画改|恋爱|田中理惠|小叽|科幻|Chobits~初次感动~|启动键|萝莉|日常|漫改|浅香守生|2002年4月|日本|ちぃ|杉田智和|搞笑|2002年|S田|童年|半年番|萌|动画,https://chii.in/subject/12
22759,484,911,花咲くいろは,花开伊吕波,2011,7.5,12375,P.A.WORKS|治愈|花咲くいろは|原创|2011年4月|TV|信PA得画质|2011|能登麻美子|日常|豊崎愛生|户松遥|职场|伊藤加奈惠|青春|励志|安藤真裕|2010年4月|四月番|日本|冈田麿里|岡田麿里|恋爱|小见川千明|花开伊吕波|百合|岸田梅尔|2011年|丰崎爱生|孝哥,https://chii.in/subject/22759
109386,485,913,Fate/stay night [Unlimited Blade Works] 2ndシーズン,Fate/stay night [Unlimited Blade Works] 第二季,2015,7.5,17836,Type-Moon|Fate|ufotable|战斗|游戏改|2015年4月|TV|奇幻|UBW|GAL改|2015|蘑菇|热血|日本|游戏改编|2015年|恋爱|三浦貴博|三浦贵博|动画|奈须蘑菇|奈須きのこ|续作|FateStayNight|型月|植田佳奈|游改|诹访部顺一|远坂凛|深澤秀行,https://chii.in/subject/109386
123568,493,925,ご注文はうさぎですか？？,请问您今天要来点兔子吗？？,2015,7.5,8042,百合|芳文社|萝莉|治愈|2015年10月|漫画改|日常|WHITEFOX|萌|TV|请问您今天要来点兔子吗？|2015|漫改|萌系|佐仓绫音|轻百合|日本|KINEMACITRUS|萌豚|续作|橋本裕之|LOLI|桥本裕之|2015年|搞笑|轻百|内田真礼|水濑祈|废萌|KINEMA_CITRUS,https://chii.in/subject/123568
1451,494,926,東のエデン,东之伊甸,2009,7.5,5146,東之伊甸|神山健治|Production.I.G|I.G|TV|川井宪次|原创|2009年4月|2009|羽海野千花|神作|黑马|白码王子|ProductionI.G|科幻|Production|悬疑|noitaminA|2009年四月番|木村良平|森田|日本|早见沙织|东之伊甸|动画|2009年|剧情|恋爱|Production_I.G|四月新番,https://chii.in/subject/1451
285776,497,932,ID:INVADED イド：インヴェイデッド,异度侵入,2020,7.5,15047,原创|悬疑|推理|2020年1月|科幻|TV|NAZ|2020|舞城王太郎|青木英|犯罪|津田健次郎|原创动画|日本|あおきえい|2020年|奇幻|异度侵入|剧情|智斗|战斗|2020冬|季番|催泪|动画|日本动画|碇谷敦|小玉有起|2020s|热血,https://chii.in/subject/285776
272510,502,945,まちカドまぞく,街角魔族,2019,7.5,10964,芳文社|百合|日常|J.C.STAFF|搞笑|2019年7月|漫画改|轻百合|TV|2019|魔法少女|漫改|废萌|樱井弘明|小原好美|日本|萌|奇幻|校园|街角魔族|治愈|桜井弘明|萌豚|2019年|萌系|轻百|鬼头明里|季番|喜剧|きらら,https://chii.in/subject/272510
489820,503,946,らんま1/2,乱马1/2,2024,7.5,5596,恋爱|2024年10月|MAPPA|漫画改|搞笑|性转|TV|日常|高桥留美子|2024|奇幻|重制|日本|漫改|宇田钢之介|战斗|校园|宇田鋼之介|喜剧|乱马|2024年|季番|乱马1|2|青春|追番|经典|林原めぐみ|TVA|重置,https://chii.in/subject/489820
467461,505,948,ダンダダン,胆大党,2024,7.5,15364,战斗|漫画改|奇幻|2024年10月|ScienceSARU|TV|牛尾宪辅|怪谈|日本|2024|漫改|猎奇|科幻|山代风我|搞笑|恋爱|濑古浩司|少年向|校园|热血|山代風我|超能力|胆大党|科学猴|若山诗音|2024年|瀬古浩司|青春|JUMP|サイエンスSARU,https://chii.in/subject/467461
296367,510,955,SSSS.DYNAZENON,SSSS.电光机王,2021,7.5,11974,TRIGGER|原创|恋爱|特摄|2021年4月|TV|战斗|JK|雨宮哲|萝卜|2021|机战|科幻|雨宫哲|日本|長谷川圭一|校园|热血|日本动画|2021年|特摄改|青春|DK|奇幻|纯爱|SSSS.GRIDMAN|ssss|扳机社|长谷川圭一|榎木淳弥,https://chii.in/subject/296367
148726,511,957,灰と幻想のグリムガル,灰与幻想的格林姆迦尔,2016,7.5,8201,A-1Pictures|轻小说改|奇幻|异世界|2016年1月|TV|战斗|灰与幻想的格林姆迦尔|轻改|2016|中村亮介|十文字青|穿越|小说改|日本|冒险|治愈|小松未可子|成长|日常|A-1_Pictures|2016年|恋爱|励志|细谷佳正|吉野裕行|A-1|动画|季番|真实,https://chii.in/subject/148726
326895,512,963,サマータイムレンダ,夏日重现,2022,7.5,19191,悬疑|轮回|漫画改|2022年4月|奇幻|TV|战斗|漫改|OLM|2022|智斗|夏日重现|渡边步|濑古浩司|日本|恋爱|渡辺歩|日本动画|推理|2022年|剧情|热血|半年番|穿越|田中靖規|瀬古浩司|花江夏树|神作|追番|2022年7月,https://chii.in/subject/326895
420628,513,964,薬屋のひとりごと,药屋少女的呢喃,2023,7.5,10773,推理|2023年10月|轻小说改|TV|中国风|悠木碧|2023|OLM|TOHOanimationSTUDIO|悬疑|轻改|治愈|小说改|日本|恋爱|東宝|宫廷|日常|長沼範裕|2023年|搞笑|长沼范裕|药屋少女的呢喃|中华风|漫画改|古风|奇幻|女性向|2024|国风,https://chii.in/subject/420628
528438,522,985,フードコートで、また明日。,明天，美食广场见。,2025,7.5,6067,日常|漫画改|2025年7月|TV|花田十辉|百合|AtelierPontdarc|搞笑|2025|日本|漫改|校园|JK|轻百合|古贺一臣|2025年|空气系|治愈|古賀一臣|轻百|吐槽|花田十輝|7月|美食|青山吉能|奇幻|聊天|TVA|Atelier_Pontdarc|喜剧,https://chii.in/subject/528438
471793,527,991,君のことが大大大大大好きな100人の彼女 第2期,超超超超超喜欢你的100个女朋友 第二季,2025,7.5,6402,后宫|恋爱|搞笑|漫画改|2025年1月|TV|校园|逆天|BiburyAnimationStudios|2025|日本|整活|漫改|续作|佐藤光|日常|Bibury|百合|纯爱|未确定|喜剧|未定|抽象|2025年|扭曲|原创|超超超超超喜欢你的100个女朋友|卖肉|バイブリーアニメーションスタジオ|未定档,https://chii.in/subject/471793
524707,534,1006,わたしが恋人になれるわけないじゃん、ムリムリ！（※ムリじゃなかった!?）,我们不可能成为恋人！绝对不行。 (※似乎可行？),2025,7.5,10143,百合|后宫|校园|喜剧|恋爱|2025年7月|TV|studioMOTHER|轻小说改|小说改|2025|搞笑|日本|轻改|内沼菜摘|日常|BB|荒川稔久|2025年|青春|真百合|真百|女同|粉毛|恋人不行|党争|7月|TVA|studio_MOTHER|漫改,https://chii.in/subject/524707
