title,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Kimetsu no Yaiba,2019,Action|Award Winning|Supernatural|Adventure,8.41,135,2335191,33.0,8.6,44.0,219083.0,71.33,,,,
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2019,Comedy|Romance|Drama,8.4,136,1200332,32.5,8.5,60.0,28175.0,60.67,,,,
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,2024,Adventure|Drama|Fantasy|Ecchi|Action,8.39,137,318219,32.0,8.2,128.0,35340.0,15.33,,,,
Houseki no Kuni,2017,Action|Drama|Fantasy|Mystery|Adventure,8.39,138,217734,31.5,8.4,79.0,15460.0,48.0,,,,
Major S5,2009,Sports,8.39,139,43689,31.0,,,,,,,,
Kaze ga Tsuyoku Fuiteiru,2018,Drama|Sports|Comedy|Sport,8.38,141,150214,30.0,8.3,97.0,2309.0,36.0,,,,
Vivy: Fluorite Eye's Song,2021,Action|Sci-Fi|Suspense|Drama|Fantasy,8.38,142,270022,29.5,8.4,71.0,39704.0,53.33,,,,
Mahou Shoujo Madoka★Magica,2011,Award Winning|Drama|Suspense|Action|Adventure,8.38,140,810022,30.5,8.2,127.0,13708.0,16.0,,,,
Medalist,2025,Drama|Sports,8.37,143,35119,29.0,,,,,,,,
3-gatsu no Lion,2016,Drama|Action|Adventure,8.37,144,299024,28.5,7.7,143.0,45351.0,5.33,,,,
Haikyuu!! To the Top,2020,Sports,8.37,145,641353,28.0,,,,,,,,
Chihayafuru 2,2013,Drama|Romance|Sports,8.37,146,137695,27.5,,,,,,,,
Girls Band Cry,2024,Drama|Action|Adventure,8.36,147,52547,27.0,7.4,149.0,28111.0,1.33,7.6,15.0,23041.0,44.0
Cross Game,2009,Drama|Romance|Sports|Comedy,8.36,148,53504,26.5,8.8,15.0,90568.0,90.67,,,,
Karakai Jouzu no Takagi-san 3,2022,Comedy|Romance,8.36,149,95305,26.0,,,,,,,,
Barakamon,2014,Slice of Life|Comedy|Fantasy,8.36,150,360121,25.5,8.4,83.0,2552.0,45.33,,,,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,2020,Comedy|Romance,8.35,154,451525,23.5,,,,,,,,
Non Non Biyori Nonstop,2021,Slice of Life,8.35,153,53501,24.0,,,,,8.2,8.0,6019.0,72.0
Fumetsu no Anata e,2021,Adventure|Drama|Supernatural,8.35,152,419386,24.5,8.3,102.0,12515.0,32.67,,,,
Baccano!,2007,Action|Mystery|Supernatural|Adventure,8.35,151,397525,25.0,8.2,125.0,89694.0,17.33,8.4,5.0,26979.0,84.0
Yofukashi no Uta Season 2,2025,Romance|Supernatural|Action|Adventure,8.34,158,82923,21.5,8.0,136.0,11323.0,10.0,,,,
