rank,title,score,scored_by,members,year,genres
378,Golden Kamuy 2nd Season,8.24,127846,234791,2018,Action|Adventure
379,Gyakkyou Burai Kaiji: Hakairoku-hen,8.24,116688,212177,2011,Suspense
381,Kamisama Hajimemashita◎,8.24,246653,464104,2015,Comedy|Romance|Supernatural
373,Shinsekai yori,8.24,288476,817779,2012,Drama|Fantasy|Horror|Mystery|Sci-Fi|Suspense
377,World Trigger 3rd Season,8.24,54469,139050,2021,Action|Sci-Fi
382,Kono Subarashii Sekai ni Shukufuku wo! 2,8.24,1084197,1639126,2017,Adventure|Comedy|Fantasy
385,Planetes,8.24,82617,277973,2003,Award Winning|Drama|Romance|Sci-Fi
380,IDOLiSH7 Third Beat!,8.24,9177,26778,2021,Drama
374,Shoujo Shuumatsu Ryokou,8.24,149432,396331,2017,Adventure|Mystery|Sci-Fi|Slice of Life
371,Re:Zero kara Hajimeru Isekai Seikatsu,8.24,1548785,2426251,2016,Drama|Fantasy|Suspense
396,Gachiakuta,8.23,180512,443631,2025,Action|Fantasy
386,Kaijuu 8-gou,8.23,407416,705900,2024,Action|Fantasy|Sci-Fi
387,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,89267,159484,2016,Drama|Sci-Fi
395,Danshi Koukousei no Nichijou,8.23,439588,879810,2012,Comedy
391,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.23,1224953,1934458,2018,Drama|Romance|Supernatural
393,Shoujo Kakumei Utena,8.23,71265,245221,1997,Award Winning|Drama
406,Spy x Family Season 3,8.22,106857,315486,2025,Action|Comedy
409,Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,8.22,37655,219978,2026,Action|Adventure|Fantasy
398,BanG Dream! It's MyGO!!!!!,8.22,19826,40926,2023,Drama
405,Nodame Cantabile Finale,8.22,71892,133088,2010,Comedy|Romance
400,Kage no Jitsuryokusha ni Naritakute!,8.22,458077,843433,2022,Action|Comedy|Fantasy
399,Boku no Hero Academia 6th Season,8.22,412022,802992,2022,Action
407,Trigun,8.22,398290,826238,1998,Action|Adventure|Sci-Fi
420,Jigokuraku 2nd Season,8.21,25923,299418,2026,Action|Adventure|Supernatural
412,Tengoku Daimakyou,8.21,286563,616509,2023,Adventure|Mystery|Sci-Fi
415,Boku no Kokoro no Yabai Yatsu,8.21,222491,428421,2023,Comedy|Romance
423,Ookami to Koushinryou,8.21,413044,866098,2008,Adventure|Drama|Romance|Supernatural
418,Fruits Basket 1st Season,8.21,445091,935681,2019,Drama|Romance|Supernatural
422,Major S3,8.21,45617,74097,2007,Sports
